year,municipality,remu,serv,d_goods,total_expenses
2018,MUNICIPALIDAD DE LEON CORTES,493311029.71999997,369868753.37,850664564.11,238927262056.72003
2018,MUNICIPALIDAD DE LIBERIA,3442091021.9799995,1197906748.38,3270399072.2799997,248520902153.52002
2018,MUNICIPALIDAD DE LIMON,5051950596.950001,1049832331.8200002,1292750547.5900002,258632106505.7
2018,MUNICIPALIDAD DE LOS CHILES,795840540.0799999,368773207.75000006,1169927477.9099998,261727762781.81
2018,MUNICIPALIDAD DE MATINA,1082938476.8899999,372182515.35,2084724234.7600002,265952554274.47
2018,MUNICIPALIDAD DE MONTES DE OCA,3338596329.3600006,1127637939.75,501241803.83,272296461147.79
2018,MUNICIPALIDAD DE MONTES DE ORO,730918392.23,257576292.1,1093275488.48,274863972030.11002
2018,MUNICIPALIDAD DE MORA,1425119067.8600006,920964036.7900001,421464524.3,278568798186.5
2018,MUNICIPALIDAD DE MORAVIA,2270627649.859999,922268864.8499999,2277955376.2599998,284972023846.46
2018,MUNICIPALIDAD DE NANDAYURE,617756544.6200001,283459517.84000003,725036178.4,286952246042.63
2018,MUNICIPALIDAD DE NARANJO,1380237582.0700002,1259388195.56,1469018340.3,292426888519.15
2018,MUNICIPALIDAD DE NICOYA,2101648178.3100004,709214999.8699999,1364251682.3600001,297219662768.22003
2018,MUNICIPALIDAD DE OREAMUNO,1115987822.47,438455150.19,972434342.1900002,300283997026.01
2018,MUNICIPALIDAD DE OROTINA,1172712548.7600002,810931280.64,1912308849.76,304671699111.46
2018,MUNICIPALIDAD DE OSA,1846591635.9799995,917893720.2099999,2211776348.21,310614366083.01
2018,MUNICIPALIDAD DE PALMARES,955751601.3800005,449790420.55999994,552815540.8100001,313223867637.36
2018,MUNICIPALIDAD DE PARAISO,2099771016.9300008,1020413759.5400001,1012121968.6699998,318675930464.45
2018,MUNICIPALIDAD DE PARRITA,1068858342.8100004,334583308.11999995,361145630.41999996,320857928329.22003
2018,MUNICIPALIDAD DE PEREZ ZELEDON,4145132099.409999,1436494974.12,2175198384.38,331769925855.91003
2018,MUNICIPALIDAD DE POAS,790164339.59,501678728.46,676373260.1199999,334163299857.54004
2018,MUNICIPALIDAD DE POCOCI,3238787603.13,2078343841.15,1166523653.4600003,343552395752.80005
2018,MUNICIPALIDAD DE PUNTARENAS,4969222155.790002,1708453104.19,1589063801.32,354506005455.8901
2018,MUNICIPALIDAD DE PURISCAL,1027581633.3200004,349357263.8,919507246.5300001,357262209668.31006
2018,MUNICIPALIDAD DE QUEPOS,1606120432.4700007,1068908330.2099999,1416374607.3600001,362068035119.97003
2018,MUNICIPALIDAD DE SAN CARLOS,5287651745.92,2255944767.14,10695310968.339998,384326204300.0
2018,MUNICIPALIDAD DE SAN ISIDRO DE HEREDIA,937329717.7099996,378530654.46,730742621.0999999,386687495629.09
2018,MUNICIPALIDAD DE SAN JOSE,37330560894.73999,10020386020.72,5926409071.39,456830321981.35004
2018,MUNICIPALIDAD DE SAN MATEO,346309889.61999995,253207406.81,130379840.41,458000370656.69006
2018,MUNICIPALIDAD DE SAN PABLO DE HEREDIA,1362165929.9000006,716276242.12,234564421.78999996,460750554524.6401
2018,MUNICIPALIDAD DE SAN RAFAEL DE HEREDIA,1783837566.4500003,927450747.9300001,788845276.1099999,465175396772.1501
2018,MUNICIPALIDAD DE SAN RAMON,2917237017.14,603762318.8599999,396611317.72999996,471123062998.7101
2018,MUNICIPALIDAD DE SANTA ANA,3968522754.9699993,1682424123.6799998,2938528654.9000006,483088670266.4901
2018,MUNICIPALIDAD DE SANTA BARBARA DE HEREDIA,750660942.5300003,612824000.96,268736274.44,485223671660.2301
2018,MUNICIPALIDAD DE SANTA CRUZ,3502308636.3500013,1695424753.0899997,3099837609.2599993,495748155580.1301
2018,MUNICIPALIDAD DE SANTO DOMINGO DE HEREDIA,2027388921.1,1396072276.35,1062523485.0699998,501097510913.5001
2018,MUNICIPALIDAD DE SARAPIQUI,941701127.6500001,1198519039.95,2221539367.92,506872703337.20013
2018,MUNICIPALIDAD DE SARCHI,872828861.6499999,345845523.37,549908618.4000001,509113427717.09015
2018,MUNICIPALIDAD DE SIQUIRRES,1371530822.6200004,675880235.88,1067071336.1799998,512891017139.1802
2018,MUNICIPALIDAD DE TALAMANCA,1465220991.4999995,761229262.1800001,539561936.9499999,516676297594.10016
2018,MUNICIPALIDAD DE TARRAZU,513926063.13999987,225742112.87,1494029644.02,519187602712.28015
2018,MUNICIPALIDAD DE TIBAS,2852512349.5700006,1109286685.0700002,217718477.4,524612900619.91016
2018,MUNICIPALIDAD DE TILARAN,935661322.0,508178982.36999995,675732926.8499999,527377208555.46014
2018,MUNICIPALIDAD DE TURRIALBA,2108766444.6599994,401447648.7,3440654017.63,534483671190.8201
2018,MUNICIPALIDAD DE TURRUBARES,489871647.15,257101466.45,769770183.6500001,536425263269.96014
2018,MUNICIPALIDAD DE UPALA,841409910.1099999,552944991.6099999,1048021877.8499999,539647771102.9301
